pcode,year,junaug_mm,n_days
NE004003,2015,350.553724059952,91
NE004003,2016,304.42815690244,91
NE004003,2017,342.15677457819,91
NE004003,2018,379.54806935719,91
NE004003,2019,359.71544113313,91
NE004003,2020,291.0614151808,91
NE004003,2021,322.643773307,91
NE004003,2022,333.55166395733,91
NE004003,2023,275.84456517093,91
NE004003,2024,435.0819769594,91
NE004003,2025,435.11925186505,91
NE004003,2026,302.208338689676,90
NE004004,1998,573.84346973001,91
NE004004,1999,443.9458938937,91
NE004004,2000,483.93362367599997,91
NE004004,2001,419.0840873822,91
NE004004,2002,408.824535582,91
NE004004,2003,443.67347795119997,91
NE004004,2004,467.9566581477,91
NE004004,2005,374.4340821533,91
NE004004,2006,385.7331778024,91
NE004004,2007,434.11726495826,91
NE004004,2008,299.1740870109,91
NE004004,2009,320.7769648486,91
NE004004,2010,477.5124134857,91
NE004004,2011,396.5648390843,91
NE004004,2012,413.21362546103,91
NE004004,2013,428.77362636396003,91
NE004004,2014,276.636204949,91
NE004004,2015,367.79044715175,91
NE004004,2016,316.34983963475,91
NE004004,2017,526.91422634215,91
NE004004,2018,500.10589984605997,91
NE004004,2019,391.7542328442,91
NE004004,2020,523.60968753553,91
NE004004,2021,480.961503955,91
NE004004,2022,429.7959032583,91
NE004004,2023,443.7277208323,91
NE004004,2024,424.3434801058,91
NE004004,2025,580.5830198484,91
NE004004,2026,433.4033307455,90
NE004005,1998,455.41005006822,91
NE004005,1999,282.34078627918,91
NE004005,2000,444.1507823985,91
NE004005,2001,513.09726709868,91
NE004005,2002,357.13732942636,91
NE004005,2003,426.15296714983,91
NE004005,2004,356.16467585462,91
NE004005,2005,377.45770894777,91
NE004005,2006,400.40467089866,91
NE004005,2007,375.02565419399997,91
NE004005,2008,245.77426573245,91
NE004005,2009,280.928285469,91
NE004005,2010,512.67438202556,91
NE004005,2011,323.55005060407,91
NE004005,2012,364.6099331031,91
NE004005,2013,322.9392036456,91
NE004005,2014,267.52496414611,91
NE004005,2015,434.77084816647,91
NE004005,2016,320.07885633179,91
NE004005,2017,408.55460949365,91
NE004005,2018,385.29002290911,91
NE004005,2019,416.36451636865,91
NE004005,2020,413.672773129,91
NE004005,2021,393.35354018709,91
