pcode,year,junjul_mm,n_pix
NE003001,2009,207.18701171875,105
NE004008,2009,136.71363830566406,218
NE003007,2009,191.95123291015625,90
NE002003,2009,111.59224700927734,268
NE005010,2009,57.0140495300293,1005
NE005008,2009,165.4958953857422,50
NE001002,2009,14.840849876403809,2096
NE001001,2009,34.64192199707031,1741
NE003008,2009,214.5003204345703,93
NE006010,2009,238.3619842529297,213
NE003003,2009,165.1757354736328,279
NE005011,2009,90.1509780883789,371
NE004009,2009,152.2716064453125,178
NE004005,2009,151.77938842773438,157
NE005002,2009,131.29078674316406,102
NE005003,2009,154.91944885253906,106
NE001006,2009,28.314695358276367,1062
NE006011,2009,115.28604888916016,314
NE006008,2009,190.8396453857422,304
NE005012,2009,102.64891052246094,593
NE004004,2009,195.06256103515625,33
NE002006,2009,58.76118469238281,330
NE004002,2009,108.78849029541016,192
NE006007,2009,143.37802124023438,141
NE005005,2009,146.686767578125,125
NE005009,2009,118.05697631835938,389
NE004007,2009,172.8251190185547,1
NE004001,2009,177.8918914794922,58
NE007003,2009,194.96075439453125,145
NE004006,2009,189.19915771484375,125
NE006004,2009,107.97798919677734,214
NE006002,2009,84.54585266113281,100
