season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
2021,1.1357789172570518,0.9991764453860819,NE004003,2,JAS
2022,1.459366598510091,1.3151751004240666,NE004003,2,JAS
2023,0.9772381180858842,0.8254575937848054,NE004003,2,JAS
2024,1.405980076284847,1.2466105257687137,NE004003,2,JAS
2025,1.07597066621211,0.9090120894809242,NE004003,2,JAS
2026,0.8521957434871927,0.6776481405409525,NE004003,2,JAS
1981,0.6243396829973562,0.8283088130129274,NE004003,2,ASO
1982,0.6334195816453492,0.8281173875693028,NE004003,2,ASO
1983,0.47375354859496777,0.6591800304273073,NE004003,2,ASO
1984,0.31675781777672085,0.49291297551744284,NE004003,2,ASO
1985,0.735228310603723,0.9021121442528274,NE004003,2,ASO
1986,0.5829315679787492,0.7405440775362361,NE004003,2,ASO
1987,0.7492799243301169,0.8976211097959862,NE004003,2,ASO
1988,1.0851940611042432,1.2242639224784986,NE004003,2,ASO
1989,1.122381901316643,1.2521804385992805,NE004003,2,ASO
1990,0.4404885446989091,0.5610157578899292,NE004003,2,ASO
1991,0.873291128483335,0.9845470175827375,NE004003,2,ASO
1992,0.8637196657771282,0.9657042307849132,NE004003,2,ASO
1993,0.5703911084161453,0.6631043493323162,NE004003,2,ASO
1994,1.438103415409435,1.5215453322339885,NE004003,2,ASO
1995,0.973447937193305,1.0476185299262408,NE004003,2,ASO
1996,0.6750903228824544,0.7399895915237726,NE004003,2,ASO
1997,0.7174121161003256,0.7730400606500263,NE004003,2,ASO
1998,1.1214627821124112,1.1678194025704944,NE004003,2,ASO
1999,1.5010496452137598,1.5381349415802288,NE004003,2,ASO
2000,0.39596585053537603,0.4237798228102275,NE004003,2,ASO
2001,0.9558773690185873,0.9744200172018213,NE004003,2,ASO
2002,0.9249707392857425,0.9342420633773588,NE004003,2,ASO
2003,1.0136034471188227,1.0136034471188213,NE004003,2,ASO
2004,0.8157917253807944,0.8065204012891791,NE004003,2,ASO
2005,0.9722437622019426,0.9537011140187098,NE004003,2,ASO
2006,1.0003651928190322,0.9725512205441819,NE004003,2,ASO
2007,1.1154909427257926,1.0784056463593248,NE004003,2,ASO
2008,0.961571297258311,0.9152146768002255,NE004003,2,ASO
2009,0.6689868761380144,0.6133589315883149,NE004003,2,ASO
2010,1.156429976315876,1.091530707674559,NE004003,2,ASO
2011,0.8415530604449182,0.7673824677119835,NE004003,2,ASO
2012,1.0880136303266132,1.0045717135020609,NE004003,2,ASO
2013,1.123738765609236,1.031025524693066,NE004003,2,ASO
2014,1.080561928327311,0.978577363319527,NE004003,2,ASO
2015,1.1912712915449695,1.080015402445568,NE004003,2,ASO
2016,0.8306779637314616,0.7101507505404426,NE004003,2,ASO
2017,0.7107685667056739,0.5809700294230373,NE004003,2,ASO
2018,1.2739034516057428,1.1348335902314886,NE004003,2,ASO
2019,0.9338102692335739,0.7854690837677022,NE004003,2,ASO
2020,1.005953273884389,0.8483407643269033,NE004003,2,ASO
2021,0.8150367712937675,0.6481529376446642,NE004003,2,ASO
2022,1.2173425902543986,1.0411874325136776,NE004003,2,ASO
2023,0.9666538127295966,0.7812273308972582,NE004003,2,ASO
2024,1.3393543640673917,1.1446565581434358,NE004003,2,ASO
2025,0.8448968646671771,0.640927734651607,NE004003,2,ASO
2026,0.7313001151693821,0.5180596610621945,NE004003,2,ASO
1981,0.2622882746281892,0.4340427220352404,NE004003,2,SON
1982,0.07857779093493267,0.24252521800530075,NE004003,2,SON
1983,0.15996794701314343,0.3161083537468266,NE004003,2,SON
1984,0.006466786933907065,0.15480017333090534,NE004003,2,SON
1985,0.1374285790729369,0.27795494513325203,NE004003,2,SON
1986,0.4284699412714099,0.5611892869950401,NE004003,2,SON
1987,0.23278226734078059,0.35769459272772774,NE004003,2,SON
1988,0.23417362157313137,0.3512789266233936,NE004003,2,SON
1989,0.5109533888515315,0.6202516735651107,NE004003,2,SON
1990,0.10259679376800623,0.20408805814490044,NE004003,2,SON
1991,0.16549464821260246,0.25917889225281354,NE004003,2,SON
1992,0.07506690416968642,0.1609441278732126,NE004003,2,SON
1993,0.09774233244705044,0.1758125358138935,NE004003,2,SON
1994,0.33419062322817206,0.4044538062583302,NE004003,2,SON
1995,0.36639606097103705,0.4288522236645121,NE004003,2,SON
1996,0.1530150165473638,0.20766415890415393,NE004003,2,SON
1997,0.3287812088652528,0.37562333088535804,NE004003,2,SON
1998,0.41459658978247593,0.45363169146589805,NE004003,2,SON
1999,0.7515262702993359,0.7827543516460731,NE004003,2,SON
2000,0.10861133326980665,0.13203239427986074,NE004003,2,SON
2001,0.44031119576978406,0.45592523644315325,NE004003,2,SON
2002,0.49242176374710295,0.500228784083789,NE004003,2,SON
2003,0.5040422996922536,0.5040422996922547,NE004003,2,SON
2004,0.4739679350378182,0.46616091470113624,NE004003,2,SON
2005,0.45841599202630384,0.442801951352937,NE004003,2,SON
2006,0.5962885984116605,0.5728675374016106,NE004003,2,SON
2007,0.5310902727753823,0.49986219142864746,NE004003,2,SON
2008,0.20049360380766565,0.16145850212424764,NE004003,2,SON
2009,0.15392992272965722,0.10708780070955431,NE004003,2,SON
2010,0.794066243010001,0.7394171006532131,NE004003,2,SON
